Pair	2mo-WT-10F	2mo-WT-11F	2mo-WT-6F	2mo-WT-7F	2mo-WT-8F	2mo-WT-9F	2mo-WT-1M	2mo-WT-2M	2mo-WT-3M	2mo-WT-4M	2mo-WT-5M	2mo-Het-3F	2mo-Het-4F	2mo-Het-5F	2mo-Het-6F	2mo-Het-10M	2mo-Het-1M	2mo-Het-2M	2mo-Het-7M	2mo-Het-9M	2mo-KO-4F	2mo-KO-5F	2mo-KO-6F	2mo-KO-7F	2mo-KO-8F	2mo-KO-10M	2mo-KO-11M	2mo-KO-12M	2mo-KO-13M	2mo-KO-2M	2mo-KO-9M	1yr-WT-2F	1yr-WT-3F	1yr-WT-4F	1yr-WT-5F	1yr-WT-6F	1yr-WT-7F	1yr-WT-8F	1yr-WT-10M	1yr-WT-11M	1yr-WT-9M	1yr-Het-1F	1yr-Het-5F	1yr-Het-6F	1yr-Het-7F	1yr-Het-8F	1yr-Het-9F	1yr-Het-11M	1yr-Het-12M	1yr-Het-14M	1yr-Het-2M	1yr-Het-4M	1yr-KO-11F	1yr-KO-1F	1yr-KO-2F	1yr-KO-3F	1yr-KO-8F	1yr-KO-9F	1yr-KO-13M	1yr-KO-14M	1yr-KO-15M	1yr-KO-16M	1yr-KO-6M	1yr-KO-7M	2yr-WT-1F	2yr-WT-2F	2yr-WT-3F	2yr-WT-5F	2yr-WT-6F	2yr-WT-7F	2yr-WT-8F	2yr-WT-10M	2yr-WT-4M	2yr-WT-9M	2yr-Het-2F	2yr-Het-6F	2yr-Het-7F	2yr-Het-8F	2yr-Het-1M	2yr-Het-3M	2yr-Het-4M	2yr-Het-5M	2yr-KO-4F	2yr-KO-7F	2yr-KO-8F	2yr-KO-9F	2yr-KO-10M	2yr-KO-11M	2yr-KO-12M	2yr-KO-1M	2yr-KO-2M	2yr-KO-3M	2yr-KO-6M
2mo-WT-10F	100	87.39	87.39	85.59	87.39	87.39	85.59	87.39	99.88	87.39	87.39	87.39	87.39	99.88	99.88	85.59	87.39	87.39	87.39	87.39	99.88	99.88	87.39	99.88	85.59	87.39	87.39	87.39	87.39	74.91	87.39	87.39	87.39	87.39	87.39	87.39	87.39	99.88	99.88	99.88	87.39	87.39	87.39	87.39	85.59	87.39	99.88	87.39	87.39	99.86	87.39	87.39	74.91	87.39	87.39	87.39	87.39	87.39	87.39	87.39	87.39	87.39	85.59	87.39	87.39	85.59	87.39	87.39	87.39	99.88	87.39	87.39	87.39	87.39	87.39	74.91	87.39	87.39	87.39	87.39	74.91	87.39	87.39	87.39	74.91	87.39	74.91	87.39	87.39	87.39	87.39	85.59	87.39
2mo-WT-11F	99.86	100	99.86	99.83	99.86	99.86	99.83	99.86	99.86	99.86	99.86	99.86	99.86	99.86	99.86	99.83	99.86	99.86	99.86	99.86	99.86	99.86	99.86	99.86	99.83	99.86	99.86	99.86	99.86	71.33	99.86	99.86	99.86	99.86	99.86	99.86	99.86	99.86	99.86	99.86	99.86	99.83	99.86	99.86	99.83	99.86	99.86	99.86	99.83	99.83	99.86	99.86	99.86	99.86	99.86	99.86	99.86	99.86	99.86	85.59	99.86	99.86	99.83	99.86	99.86	99.8	99.86	99.86	99.86	99.86	99.86	99.86	99.86	99.86	99.83	85.59	99.83	83.19	99.86	99.86	83.19	99.86	99.83	99.83	85.59	99.83	83.19	99.86	99.86	99.83	99.83	99.83	99.86
2mo-WT-6F	71.38	86.61	100	78.52	99.93	99.93	86.61	93.27	66.62	99.93	93.27	99.92	93.27	69.18	78.52	78.52	85.65	57.1	86.61	85.65	78.52	66.62	81.74	66.62	99.93	93.27	99.93	92.24	93.27	93.27	99.92	78.52	93.27	86.61	86.61	79.95	92.24	79.95	61.49	69.18	92.79	86.61	76.86	92.79	93.27	85.65	73.28	99.93	93.27	86.61	99.93	92.79	85.65	86.61	91.59	93.27	85.65	86.61	78.52	86.61	93.27	79.95	99.93	78.52	99.93	74.94	99.93	66.61	99.93	84.55	99.93	73.28	85.65	99.93	93.27	69.18	99.93	66.61	93.27	92.24	86.61	92.79	99.86	86.61	91.59	99.93	90.83	99.93	99.93	99.92	92.79	86.61	92.79
2mo-WT-7F	92.79	92.79	85.65	100	85.65	85.65	69.18	85.65	92.24	85.65	92.24	89.91	84.55	92.24	85.65	76.86	99.92	85.65	99.93	99.93	84.55	92.79	99.9	84.55	85.65	84.55	91.59	91.59	84.55	76.86	91.59	99.93	84.55	85.65	92.79	99.93	99.92	71.38	76.86	92.24	83.26	92.79	99.91	91.59	85.65	92.79	92.79	85.65	92.79	85.65	85.65	92.79	69.18	99.93	89.91	92.79	84.55	92.24	99.93	92.79	85.65	99.93	83.26	99.93	84.55	89.91	85.65	99.9	84.55	72.66	85.65	99.93	91.59	84.55	85.65	90.83	85.65	81.74	92.79	92.24	85.65	91.59	99.88	85.65	69.93	85.65	76.86	85.65	85.65	85.65	92.24	99.93	69.18
2mo-WT-8F	49.92	85.59	99.86	66.56	100	99.86	99.86	99.86	57.06	99.86	85.59	99.8	99.86	66.56	71.33	99.83	71.33	71.33	71.33	71.33	71.33	42.8	99.8	71.33	85.59	99.86	99.83	99.8	99.86	83.19	99.8	71.33	99.86	99.86	85.59	66.56	83.19	85.59	57.06	57.06	99.86	85.59	71.33	85.59	99.86	85.59	57.06	99.86	83.19	71.33	99.86	85.59	99.86	71.33	85.59	85.59	99.86	83.19	71.33	85.59	99.86	71.33	99.83	71.33	99.86	99.8	99.86	71.33	99.83	85.59	99.86	71.33	83.19	99.83	99.83	57.06	99.86	49.92	83.19	99.8	71.33	85.59	99.8	99.86	85.59	99.83	85.59	99.86	99.86	99.83	83.19	71.33	99.86
2mo-WT-9F	66.61	84.55	99.93	76.86	99.93	100	85.65	93.27	61.49	99.93	93.27	99.92	93.27	63.58	74.94	78.52	85.65	57.1	85.65	84.55	72.66	64.24	74.91	66.62	99.93	93.27	99.93	91.59	93.27	99.93	99.92	76.86	93.27	85.65	85.65	76.86	91.59	78.52	54.5	63.58	92.79	86.61	69.93	90.83	92.79	85.65	69.18	99.93	92.79	84.55	99.93	92.79	92.24	85.65	91.59	92.79	84.55	86.61	72.66	85.65	92.79	76.86	99.92	74.94	99.93	66.59	99.92	66.61	99.92	83.26	99.93	71.38	85.65	99.93	92.79	76.86	99.92	66.59	92.79	92.24	92.79	92.79	99.83	86.61	99.92	99.93	99.89	99.92	99.93	99.9	92.24	85.65	92.79
2mo-WT-1M	77.69	88.79	99.89	88.79	99.89	99.89	100	88.79	66.59	99.89	99.89	99.88	88.79	66.59	77.69	77.69	99.89	77.69	99.89	99.89	77.69	66.59	74.91	55.49	99.89	88.79	99.89	87.39	88.79	88.79	99.89	88.79	88.79	77.69	88.79	88.79	99.88	77.69	74.91	71.33	87.39	88.79	88.79	99.88	88.79	87.39	77.69	99.89	99.89	88.79	99.88	99.89	99.88	99.89	99.88	99.89	74.91	88.79	87.39	88.79	88.79	88.79	99.88	87.39	99.88	77.69	99.89	74.91	99.88	77.69	99.89	77.69	88.79	99.88	88.79	77.69	99.88	66.59	99.89	88.79	88.79	99.88	99.83	77.69	87.39	99.89	79.84	99.88	99.89	99.83	99.89	99.89	99.88
2mo-WT-2M	88.79	87.39	99.9	88.79	99.9	99.89	99.89	100	77.69	99.9	99.9	99.9	88.79	88.79	88.79	89.91	99.89	89.91	99.89	99.89	74.91	79.92	87.39	77.69	99.88	99.89	99.89	99.89	99.9	89.91	99.9	99.9	89.91	89.91	88.79	99.89	99.9	79.92	74.91	77.69	99.9	99.89	85.59	99.86	87.39	88.79	77.69	99.9	99.9	88.79	99.9	99.9	89.91	99.9	99.89	99.9	88.79	99.9	87.39	89.91	99.9	99.89	99.89	87.39	99.9	85.59	99.9	99.9	99.89	79.92	99.89	89.91	89.91	99.9	99.9	89.91	99.89	62.42	99.9	99.9	89.91	99.89	99.9	99.9	89.91	99.9	87.39	99.89	99.89	99.88	99.88	99.88	99.9
2mo-WT-3M	99.8	99.8	99.8	99.75	99.8	99.8	99.75	99.8	100	99.8	99.8	99.75	99.8	99.8	99.8	99.75	99.8	99.8	99.8	99.8	99.8	99.8	99.75	99.8	99.75	99.8	99.8	99.75	99.8	79.84	99.8	99.8	99.8	99.8	99.8	99.8	99.75	99.8	99.75	99.75	99.75	99.8	99.8	99.75	99.75	99.8	99.8	99.8	99.8	99.75	99.8	99.8	99.75	99.8	99.75	99.8	99.75	99.8	99.8	99.8	99.8	99.8	99.8	99.8	99.75	99.75	99.8	99.75	99.8	99.8	99.8	99.8	99.8	99.75	99.8	79.84	99.8	79.84	99.8	99.8	79.84	99.75	99.75	99.8	74.81	99.8	74.81	99.8	99.8	99.8	99.8	99.75	99.75
2mo-WT-4M	85.59	99.83	99.86	99.86	99.86	99.86	99.86	99.86	85.59	100	99.86	99.83	99.83	83.19	85.59	99.86	99.83	99.86	99.86	99.86	83.19	85.59	99.83	85.59	99.86	99.86	99.83	99.83	99.86	85.59	99.83	99.86	99.86	99.86	99.86	99.86	99.83	83.19	85.59	83.19	99.83	99.83	99.86	99.86	99.83	99.86	85.59	99.83	99.83	85.59	99.83	99.83	85.59	99.83	99.83	99.86	99.86	99.86	99.86	99.83	99.83	99.83	99.8	99.83	99.83	99.83	99.83	99.83	99.86	83.19	99.83	99.86	99.86	99.83	99.83	83.19	99.83	66.56	99.83	99.86	85.59	99.83	99.83	99.83	83.19	99.86	85.59	99.86	99.83	99.86	99.83	99.83	99.83
