Sample	2mo-WT-10F	2mo-WT-11F	2mo-WT-6F	2mo-WT-7F	2mo-WT-8F	2mo-WT-9F	2mo-WT-1M	2mo-WT-2M	2mo-WT-3M	2mo-WT-4M	2mo-WT-5M	2mo-Het-3F	2mo-Het-4F	2mo-Het-5F	2mo-Het-6F	2mo-Het-10M	2mo-Het-1M	2mo-Het-2M	2mo-Het-7M	2mo-Het-9M	2mo-KO-4F	2mo-KO-5F	2mo-KO-6F	2mo-KO-7F	2mo-KO-8F	2mo-KO-10M	2mo-KO-11M	2mo-KO-12M	2mo-KO-13M	2mo-KO-2M	2mo-KO-9M	1yr-WT-2F	1yr-WT-3F	1yr-WT-4F	1yr-WT-5F	1yr-WT-6F	1yr-WT-7F	1yr-WT-8F	1yr-WT-10M	1yr-WT-11M	1yr-WT-9M	1yr-Het-1F	1yr-Het-5F	1yr-Het-6F	1yr-Het-7F	1yr-Het-8F	1yr-Het-9F	1yr-Het-11M	1yr-Het-12M	1yr-Het-14M	1yr-Het-2M	1yr-Het-4M	1yr-KO-11F	1yr-KO-1F	1yr-KO-2F	1yr-KO-3F	1yr-KO-8F	1yr-KO-9F	1yr-KO-13M	1yr-KO-14M	1yr-KO-15M	1yr-KO-16M	1yr-KO-6M	1yr-KO-7M	2yr-WT-1F	2yr-WT-2F	2yr-WT-3F	2yr-WT-5F	2yr-WT-6F	2yr-WT-7F	2yr-WT-8F	2yr-WT-10M	2yr-WT-4M	2yr-WT-9M	2yr-Het-2F	2yr-Het-6F	2yr-Het-7F	2yr-Het-8F	2yr-Het-1M	2yr-Het-3M	2yr-Het-4M	2yr-Het-5M	2yr-KO-4F	2yr-KO-7F	2yr-KO-8F	2yr-KO-9F	2yr-KO-10M	2yr-KO-11M	2yr-KO-12M	2yr-KO-1M	2yr-KO-2M	2yr-KO-3M	2yr-KO-6M
2mo-WT-10F	1	0.874	0.871	0.861	0.864	0.869	0.872	0.87	0.871	0.874	0.865	0.88	0.877	0.872	0.854	0.862	0.877	0.879	0.872	0.867	0.876	0.877	0.871	0.842	0.846	0.875	0.867	0.874	0.871	0.853	0.876	0.865	0.856	0.864	0.858	0.866	0.864	0.864	0.848	0.86	0.858	0.86	0.86	0.85	0.857	0.844	0.86	0.863	0.867	0.857	0.869	0.859	0.848	0.86	0.861	0.866	0.86	0.859	0.863	0.861	0.858	0.866	0.863	0.86	0.86	0.835	0.86	0.869	0.866	0.855	0.856	0.86	0.865	0.861	0.866	0.868	0.857	0.853	0.867	0.863	0.86	0.859	0.857	0.866	0.86	0.862	0.86	0.866	0.86	0.865	0.856	0.863	0.857
2mo-WT-11F	0.874	1	0.876	0.865	0.868	0.869	0.877	0.877	0.878	0.874	0.866	0.88	0.884	0.866	0.851	0.865	0.879	0.882	0.874	0.864	0.876	0.874	0.876	0.843	0.844	0.876	0.871	0.877	0.871	0.855	0.879	0.861	0.85	0.856	0.853	0.866	0.86	0.859	0.854	0.851	0.854	0.859	0.855	0.846	0.853	0.836	0.856	0.856	0.86	0.847	0.865	0.858	0.84	0.86	0.864	0.864	0.854	0.849	0.859	0.85	0.853	0.859	0.857	0.858	0.866	0.836	0.862	0.866	0.862	0.856	0.855	0.859	0.868	0.861	0.862	0.865	0.857	0.852	0.86	0.86	0.858	0.859	0.854	0.862	0.861	0.856	0.853	0.864	0.856	0.867	0.855	0.86	0.856
2mo-WT-6F	0.871	0.876	1	0.865	0.871	0.865	0.884	0.879	0.879	0.879	0.866	0.874	0.875	0.865	0.847	0.865	0.868	0.873	0.867	0.859	0.868	0.872	0.872	0.836	0.839	0.87	0.869	0.873	0.863	0.848	0.872	0.849	0.842	0.851	0.853	0.859	0.852	0.854	0.856	0.855	0.852	0.853	0.849	0.844	0.852	0.831	0.849	0.855	0.859	0.843	0.859	0.853	0.838	0.858	0.858	0.86	0.847	0.846	0.856	0.849	0.846	0.856	0.855	0.855	0.858	0.831	0.862	0.859	0.865	0.848	0.853	0.855	0.866	0.856	0.856	0.866	0.85	0.845	0.858	0.862	0.85	0.851	0.85	0.856	0.856	0.853	0.853	0.86	0.853	0.867	0.848	0.845	0.852
2mo-WT-7F	0.861	0.865	0.865	1	0.866	0.867	0.864	0.868	0.865	0.869	0.86	0.868	0.866	0.864	0.85	0.866	0.858	0.868	0.868	0.858	0.863	0.87	0.867	0.849	0.85	0.87	0.866	0.866	0.869	0.856	0.867	0.846	0.843	0.848	0.851	0.853	0.844	0.845	0.837	0.847	0.84	0.849	0.841	0.838	0.84	0.833	0.849	0.848	0.847	0.843	0.848	0.841	0.845	0.854	0.854	0.855	0.849	0.842	0.85	0.84	0.847	0.85	0.847	0.846	0.847	0.822	0.852	0.849	0.852	0.845	0.85	0.849	0.847	0.844	0.845	0.852	0.838	0.84	0.838	0.842	0.844	0.838	0.835	0.85	0.846	0.846	0.839	0.843	0.843	0.856	0.84	0.842	0.85
2mo-WT-8F	0.864	0.868	0.871	0.866	1	0.865	0.868	0.869	0.87	0.867	0.863	0.871	0.873	0.859	0.848	0.862	0.864	0.87	0.866	0.859	0.863	0.868	0.867	0.834	0.836	0.868	0.863	0.87	0.862	0.844	0.865	0.844	0.837	0.845	0.847	0.857	0.845	0.847	0.839	0.84	0.84	0.845	0.841	0.831	0.836	0.827	0.844	0.846	0.851	0.836	0.85	0.841	0.832	0.849	0.854	0.852	0.843	0.841	0.844	0.835	0.842	0.847	0.841	0.842	0.852	0.816	0.848	0.848	0.853	0.839	0.846	0.849	0.847	0.843	0.844	0.851	0.837	0.837	0.841	0.842	0.843	0.837	0.835	0.84	0.843	0.84	0.838	0.842	0.842	0.851	0.838	0.839	0.842
2mo-WT-9F	0.869	0.869	0.865	0.867	0.865	1	0.865	0.868	0.872	0.876	0.87	0.872	0.87	0.869	0.856	0.872	0.873	0.878	0.875	0.874	0.869	0.875	0.873	0.849	0.855	0.875	0.871	0.878	0.879	0.855	0.874	0.852	0.85	0.851	0.848	0.859	0.848	0.849	0.841	0.85	0.844	0.855	0.849	0.84	0.846	0.834	0.853	0.857	0.857	0.847	0.855	0.85	0.842	0.852	0.861	0.859	0.848	0.849	0.856	0.847	0.85	0.858	0.853	0.852	0.853	0.83	0.85	0.855	0.853	0.847	0.848	0.852	0.847	0.846	0.855	0.855	0.843	0.843	0.855	0.852	0.846	0.848	0.841	0.85	0.854	0.851	0.847	0.85	0.852	0.858	0.848	0.848	0.852
2mo-WT-1M	0.872	0.877	0.884	0.864	0.868	0.865	1	0.882	0.88	0.878	0.872	0.876	0.875	0.858	0.849	0.862	0.872	0.878	0.873	0.858	0.869	0.871	0.869	0.838	0.842	0.874	0.87	0.877	0.863	0.856	0.88	0.849	0.837	0.849	0.851	0.857	0.847	0.85	0.851	0.85	0.848	0.848	0.843	0.836	0.843	0.831	0.847	0.846	0.856	0.839	0.854	0.854	0.839	0.856	0.857	0.857	0.844	0.845	0.853	0.845	0.848	0.854	0.853	0.853	0.855	0.831	0.859	0.858	0.861	0.847	0.852	0.856	0.861	0.857	0.859	0.859	0.843	0.842	0.854	0.855	0.852	0.851	0.843	0.852	0.851	0.848	0.848	0.857	0.847	0.862	0.846	0.851	0.851
2mo-WT-2M	0.87	0.877	0.879	0.868	0.869	0.868	0.882	1	0.88	0.874	0.867	0.875	0.881	0.861	0.848	0.864	0.873	0.881	0.872	0.859	0.867	0.876	0.874	0.841	0.845	0.881	0.873	0.876	0.87	0.857	0.882	0.847	0.845	0.855	0.852	0.855	0.851	0.849	0.854	0.847	0.848	0.849	0.848	0.836	0.85	0.834	0.852	0.852	0.855	0.844	0.856	0.852	0.838	0.86	0.856	0.859	0.845	0.845	0.86	0.85	0.847	0.856	0.854	0.852	0.858	0.833	0.862	0.862	0.862	0.849	0.856	0.86	0.863	0.858	0.856	0.861	0.846	0.844	0.857	0.86	0.851	0.852	0.847	0.857	0.854	0.851	0.855	0.859	0.853	0.865	0.85	0.855	0.852
2mo-WT-3M	0.871	0.878	0.879	0.865	0.87	0.872	0.88	0.88	1	0.882	0.877	0.878	0.877	0.868	0.852	0.868	0.871	0.879	0.873	0.868	0.87	0.872	0.874	0.836	0.844	0.876	0.873	0.876	0.87	0.85	0.879	0.852	0.85	0.853	0.85	0.861	0.857	0.855	0.849	0.854	0.852	0.851	0.849	0.84	0.85	0.833	0.852	0.859	0.857	0.853	0.861	0.857	0.842	0.859	0.863	0.858	0.849	0.846	0.86	0.853	0.851	0.863	0.856	0.856	0.859	0.834	0.857	0.857	0.857	0.85	0.853	0.858	0.86	0.856	0.856	0.857	0.847	0.845	0.86	0.857	0.85	0.851	0.847	0.853	0.85	0.847	0.85	0.855	0.852	0.856	0.852	0.849	0.852
2mo-WT-4M	0.874	0.874	0.879	0.869	0.867	0.876	0.878	0.874	0.882	1	0.875	0.872	0.869	0.867	0.859	0.869	0.866	0.876	0.872	0.865	0.866	0.868	0.867	0.839	0.842	0.874	0.866	0.869	0.87	0.854	0.876	0.848	0.841	0.848	0.845	0.852	0.846	0.847	0.847	0.848	0.844	0.849	0.841	0.833	0.837	0.828	0.841	0.852	0.851	0.844	0.855	0.846	0.84	0.851	0.85	0.855	0.842	0.846	0.847	0.844	0.847	0.849	0.849	0.849	0.849	0.823	0.849	0.855	0.855	0.844	0.844	0.851	0.854	0.85	0.848	0.854	0.84	0.839	0.849	0.853	0.839	0.841	0.839	0.85	0.844	0.847	0.847	0.851	0.849	0.854	0.844	0.841	0.847
2mo-WT-5M	0.865	0.866	0.866	0.86	0.863	0.87	0.872	0.867	0.877	0.875	1	0.863	0.864	0.859	0.848	0.865	0.86	0.866	0.867	0.864	0.858	0.863	0.86	0.837	0.84	0.867	0.864	0.861	0.868	0.849	0.865	0.844	0.833	0.839	0.84	0.85	0.838	0.84	0.835	0.843	0.842	0.839	0.836	0.828	0.837	0.826	0.838	0.846	0.845	0.843	0.846	0.84	0.834	0.846	0.847	0.847	0.839	0.837	0.846	0.834	0.841	0.846	0.844	0.847	0.839	0.816	0.841	0.843	0.845	0.83	0.836	0.842	0.848	0.839	0.84	0.844	0.83	0.829	0.84	0.841	0.834	0.835	0.83	0.837	0.837	0.83	0.834	0.839	0.839	0.844	0.837	0.837	0.841
2mo-Het-3F	0.88	0.88	0.874	0.868	0.871	0.872	0.876	0.875	0.878	0.872	0.863	1	0.892	0.871	0.859	0.867	0.883	0.888	0.886	0.872	0.885	0.886	0.88	0.848	0.851	0.88	0.882	0.887	0.877	0.865	0.886	0.865	0.862	0.869	0.858	0.875	0.867	0.869	0.856	0.859	0.856	0.865	0.862	0.857	0.861	0.844	0.863	0.869	0.877	0.858	0.871	0.869	0.855	0.86	0.874	0.875	0.862	0.863	0.871	0.86	0.862	0.869	0.866	0.866	0.866	0.84	0.869	0.87	0.872	0.867	0.863	0.864	0.864	0.864	0.871	0.876	0.864	0.862	0.871	0.87	0.866	0.865	0.862	0.869	0.866	0.867	0.863	0.871	0.867	0.869	0.863	0.862	0.866
