Sample	Gene_1	Gene_2	Gene_3	Gene_4	Gene_5	Gene_6	Gene_7	Gene_8	Gene_9	Gene_10	Pct_1	Pct_2	Pct_3	Pct_4	Pct_5	Pct_6	Pct_7	Pct_8	Pct_9	Pct_10
2mo-WT-10F	Cst3	Ctsd	Hexb	Malat1	Tmsb4x	C1qb	C1qc	Ctss	P2ry12	Itm2b	5.7	1.9	1.7	1.3	1.2	1.1	0.9	0.8	0.8	0.7
2mo-WT-11F	Cst3	Ctsd	Hexb	Malat1	Tmsb4x	C1qb	P2ry12	C1qc	Ctss	Selplg	5.6	1.9	1.7	1.4	1.1	1	1	0.9	0.8	0.7
2mo-WT-6F	Cst3	Ctsd	Hexb	C1qb	Tmsb4x	Ctss	Malat1	C1qc	P2ry12	Itm2b	6.1	1.8	1.8	1.2	1.2	0.9	0.9	0.9	0.8	0.7
2mo-WT-7F	Cst3	Malat1	Tmsb4x	Ctsd	Hexb	C1qb	Ctss	C1qc	P2ry12	Tyrobp	5.8	1.6	1.6	1.5	1.4	1.1	0.9	0.8	0.7	0.7
2mo-WT-8F	Cst3	Malat1	Ctsd	Hexb	Tmsb4x	C1qb	P2ry12	C1qc	Gm37376	Ctss	5.5	1.8	1.7	1.6	1.2	1	0.8	0.8	0.8	0.7
2mo-WT-9F	Cst3	Malat1	Tmsb4x	Ctsd	Hexb	C1qb	Gm37376	C1qc	P2ry12	Ctss	5.4	2.1	1.6	1.5	1.5	1	0.8	0.8	0.7	0.7
2mo-WT-1M	Cst3	Ctsd	Hexb	Malat1	C1qb	Tmsb4x	C1qc	Ctss	P2ry12	Selplg	5.6	1.8	1.6	1.3	1.1	1	0.9	0.8	0.8	0.7
2mo-WT-2M	Cst3	Ctsd	Hexb	Malat1	C1qb	Tmsb4x	P2ry12	C1qc	Ctss	Selplg	5.6	1.7	1.4	1.2	1.1	0.9	0.9	0.9	0.8	0.7
2mo-WT-3M	Cst3	Ctsd	Hexb	Malat1	Tmsb4x	C1qb	P2ry12	C1qc	Ctss	Itm2b	5.5	1.7	1.6	1.5	1.1	1	0.9	0.8	0.8	0.6
2mo-WT-4M	Cst3	Malat1	Ctsd	Hexb	Tmsb4x	C1qb	C1qc	P2ry12	mt-Tq	Ctss	5.6	1.7	1.6	1.5	1.3	1	0.8	0.8	0.7	0.7
2mo-WT-5M	Cst3	Malat1	Tmsb4x	Hexb	Ctsd	mt-Tq	C1qb	Gm37376	P2ry12	C1qc	5.3	2	1.6	1.4	1.3	0.9	0.9	0.8	0.7	0.7
2mo-Het-3F	Cst3	Ctsd	Hexb	Malat1	C1qb	Tmsb4x	P2ry12	C1qc	Ctss	Selplg	5.2	1.9	1.6	1.3	1	1	0.9	0.9	0.8	0.7
2mo-Het-4F	Cst3	Ctsd	Hexb	Malat1	C1qb	Tmsb4x	P2ry12	C1qc	Ctss	Selplg	5.3	1.9	1.7	1.2	1	1	0.9	0.9	0.8	0.7
