Sample_ID	Subject_ID	Cell_Type	Genotype	Age	Sex	Treatment
2mo-WT-10F	subject10	Microglia	WT	2m	F	None
2mo-WT-11F	subject11	Microglia	WT	2m	F	None
2mo-WT-6F	subject6	Microglia	WT	2m	F	None
2mo-WT-7F	subject7	Microglia	WT	2m	F	None
2mo-WT-8F	subject8	Microglia	WT	2m	F	None
2mo-WT-9F	subject9	Microglia	WT	2m	F	None
2mo-WT-1M	subject1	Microglia	WT	2m	M	None
2mo-WT-2M	subject2	Microglia	WT	2m	M	None
2mo-WT-3M	subject3	Microglia	WT	2m	M	None
2mo-WT-4M	subject4	Microglia	WT	2m	M	None
2mo-WT-5M	subject5	Microglia	WT	2m	M	None
2mo-Het-3F	subject14	Microglia	Het	2m	F	None
2mo-Het-4F	subject15	Microglia	Het	2m	F	None
2mo-Het-5F	subject16	Microglia	Het	2m	F	None
2mo-Het-6F	subject17	Microglia	Het	2m	F	None
2mo-Het-10M	subject20	Microglia	Het	2m	M	None
2mo-Het-1M	subject12	Microglia	Het	2m	M	None
2mo-Het-2M	subject13	Microglia	Het	2m	M	None
2mo-Het-7M	subject18	Microglia	Het	2m	M	None
2mo-Het-9M	subject19	Microglia	Het	2m	M	None
2mo-KO-4F	subject22	Microglia	KO	2m	F	None
2mo-KO-5F	subject23	Microglia	KO	2m	F	None
2mo-KO-6F	subject24	Microglia	KO	2m	F	None
2mo-KO-7F	subject25	Microglia	KO	2m	F	None
2mo-KO-8F	subject26	Microglia	KO	2m	F	None
2mo-KO-10M	subject28	Microglia	KO	2m	M	None
2mo-KO-11M	subject29	Microglia	KO	2m	M	None
2mo-KO-12M	subject30	Microglia	KO	2m	M	None
2mo-KO-13M	subject31	Microglia	KO	2m	M	None
2mo-KO-2M	subject21	Microglia	KO	2m	M	None
2mo-KO-9M	subject27	Microglia	KO	2m	M	None
1yr-WT-2F	subject32	Microglia	WT	1y	F	None
1yr-WT-3F	subject33	Microglia	WT	1y	F	None
1yr-WT-4F	subject34	Microglia	WT	1y	F	None
1yr-WT-5F	subject35	Microglia	WT	1y	F	None
1yr-WT-6F	subject36	Microglia	WT	1y	F	None
1yr-WT-7F	subject37	Microglia	WT	1y	F	None
1yr-WT-8F	subject38	Microglia	WT	1y	F	None
1yr-WT-10M	subject40	Microglia	WT	1y	M	None
1yr-WT-11M	subject41	Microglia	WT	1y	M	None
1yr-WT-9M	subject39	Microglia	WT	1y	M	None
1yr-Het-1F	subject42	Microglia	Het	1y	F	None
1yr-Het-5F	subject45	Microglia	Het	1y	F	None
1yr-Het-6F	subject46	Microglia	Het	1y	F	None
1yr-Het-7F	subject47	Microglia	Het	1y	F	None
1yr-Het-8F	subject48	Microglia	Het	1y	F	None
1yr-Het-9F	subject49	Microglia	Het	1y	F	None
1yr-Het-11M	subject50	Microglia	Het	1y	M	None
1yr-Het-12M	subject51	Microglia	Het	1y	M	None
1yr-Het-14M	subject52	Microglia	Het	1y	M	None
1yr-Het-2M	subject43	Microglia	Het	1y	M	None
1yr-Het-4M	subject44	Microglia	Het	1y	M	None
1yr-KO-11F	subject60	Microglia	KO	1y	F	None
1yr-KO-1F	subject53	Microglia	KO	1y	F	None
1yr-KO-2F	subject54	Microglia	KO	1y	F	None
1yr-KO-3F	subject59	Microglia	KO	1y	F	None
1yr-KO-8F	subject57	Microglia	KO	1y	F	None
1yr-KO-9F	subject58	Microglia	KO	1y	F	None
1yr-KO-13M	subject61	Microglia	KO	1y	M	None
1yr-KO-14M	subject62	Microglia	KO	1y	M	None
1yr-KO-15M	subject63	Microglia	KO	1y	M	None
1yr-KO-16M	subject64	Microglia	KO	1y	M	None
1yr-KO-6M	subject55	Microglia	KO	1y	M	None
1yr-KO-7M	subject56	Microglia	KO	1y	M	None
2yr-WT-1F	subject65	Microglia	WT	2y	F	None
2yr-WT-2F	subject66	Microglia	WT	2y	F	None
2yr-WT-3F	subject67	Microglia	WT	2y	F	None
2yr-WT-5F	subject69	Microglia	WT	2y	F	None
2yr-WT-6F	subject70	Microglia	WT	2y	F	None
2yr-WT-7F	subject71	Microglia	WT	2y	F	None
2yr-WT-8F	subject72	Microglia	WT	2y	F	None
2yr-WT-10M	subject74	Microglia	WT	2y	M	None
2yr-WT-4M	subject68	Microglia	WT	2y	M	None
2yr-WT-9M	subject73	Microglia	WT	2y	M	None
2yr-Het-2F	subject76	Microglia	Het	2y	F	None
2yr-Het-6F	subject80	Microglia	Het	2y	F	None
2yr-Het-7F	subject81	Microglia	Het	2y	F	None
2yr-Het-8F	subject82	Microglia	Het	2y	F	None
2yr-Het-1M	subject75	Microglia	Het	2y	M	None
2yr-Het-3M	subject77	Microglia	Het	2y	M	None
2yr-Het-4M	subject78	Microglia	Het	2y	M	None
2yr-Het-5M	subject79	Microglia	Het	2y	M	None
2yr-KO-4F	subject86	Microglia	KO	2y	F	None
2yr-KO-7F	subject88	Microglia	KO	2y	F	None
2yr-KO-8F	subject89	Microglia	KO	2y	F	None
2yr-KO-9F	subject90	Microglia	KO	2y	F	None
2yr-KO-10M	subject91	Microglia	KO	2y	M	None
2yr-KO-11M	subject92	Microglia	KO	2y	M	None
2yr-KO-12M	subject93	Microglia	KO	2y	M	None
2yr-KO-1M	subject83	Microglia	KO	2y	M	None
2yr-KO-2M	subject84	Microglia	KO	2y	M	None
2yr-KO-3M	subject85	Microglia	KO	2y	M	None
2yr-KO-6M	subject87	Microglia	KO	2y	M	None
