Sample	Total_reads	Uniq_Rate	Multi_Rate	Unmap_Rate
2mo-WT-10F	18904359	86.61	4.36	 9.03
2mo-WT-11F	17493577	87.71	4.20	 8.09
2mo-WT-6F	19200414	86.53	4.56	 8.91
2mo-WT-7F	19854165	84.06	4.65	11.29
2mo-WT-8F	16939381	85.06	4.20	10.74
2mo-WT-9F	18299805	86.42	4.62	 8.96
2mo-WT-1M	18946075	87.09	4.34	 8.57
2mo-WT-2M	20410378	87.58	4.30	 8.12
2mo-WT-3M	19467088	86.91	4.32	 8.77
2mo-WT-4M	20159788	85.92	4.47	 9.61
2mo-WT-5M	19610035	85.04	4.67	10.29
2mo-Het-3F	19497928	87.88	4.16	 7.96
2mo-Het-4F	19409670	87.86	4.21	 7.93
2mo-Het-5F	16006610	85.59	4.59	 9.82
2mo-Het-6F	19763628	81.17	4.29	14.54
2mo-Het-10M	20411729	85.03	4.62	10.35
2mo-Het-1M	17535354	87.77	4.18	 8.05
2mo-Het-2M	21188747	87.98	4.20	 7.82
2mo-Het-7M	20134597	87.17	4.25	 8.58
2mo-Het-9M	20124468	85.83	4.41	 9.76
2mo-KO-4F	18814759	87.07	4.37	 8.56
2mo-KO-5F	20077421	87.29	4.33	 8.38
2mo-KO-6F	16767338	87.55	4.28	 8.17
2mo-KO-7F	20683636	81.84	5.01	13.15
2mo-KO-8F	19724601	82.00	4.93	13.07
2mo-KO-10M	18391624	87.47	4.24	 8.29
2mo-KO-11M	16936299	87.28	4.35	 8.37
2mo-KO-12M	18454148	87.78	4.22	 8.00
2mo-KO-13M	17300935	85.69	4.55	 9.76
2mo-KO-2M	21436635	81.99	4.62	13.39
2mo-KO-9M	21016096	87.29	4.31	 8.40
1yr-WT-2F	19808357	87.33	4.02	 8.65
1yr-WT-3F	17032558	86.06	4.18	 9.76
1yr-WT-4F	18902841	85.89	4.24	 9.87
1yr-WT-5F	18201876	84.97	4.29	10.74
1yr-WT-6F	19423623	87.76	4.14	 8.10
1yr-WT-7F	16657329	85.53	4.31	10.16
1yr-WT-8F	17939667	86.50	4.18	 9.32
1yr-WT-10M	16949235	81.65	4.35	14.00
1yr-WT-11M	16712616	81.85	4.63	13.52
1yr-WT-9M	18634879	81.95	4.44	13.61
1yr-Het-1F	21114493	83.14	4.68	12.18
1yr-Het-5F	17900099	86.76	4.01	 9.23
1yr-Het-6F	13932054	84.72	3.96	11.32
1yr-Het-7F	16171291	86.01	4.36	 9.63
1yr-Het-8F	16421962	81.11	4.26	14.63
1yr-Het-9F	18563912	86.28	4.37	 9.35
1yr-Het-11M	20381975	86.91	4.22	 8.87
1yr-Het-12M	19063364	86.90	4.32	 8.78
1yr-Het-14M	18020616	83.25	4.39	12.36
1yr-Het-2M	17463825	86.80	4.37	 8.83
1yr-Het-4M	18192458	86.25	4.32	 9.43
1yr-KO-11F	18046260	84.21	4.36	11.43
1yr-KO-1F	17424405	85.32	4.24	10.44
1yr-KO-2F	16872280	87.20	4.11	 8.69
1yr-KO-3F	18603109	87.41	4.09	 8.50
1yr-KO-8F	15802629	87.03	4.00	 8.97
1yr-KO-9F	20380665	85.45	4.01	10.54
1yr-KO-13M	17885226	87.14	4.49	 8.37
1yr-KO-14M	17455616	87.21	4.31	 8.48
1yr-KO-15M	17160388	84.93	4.48	10.59
1yr-KO-16M	16889153	86.82	4.55	 8.63
1yr-KO-6M	17808713	86.34	4.40	 9.26
1yr-KO-7M	18033050	86.37	4.44	 9.19
2yr-WT-1F	17020684	88.74	4.22	 7.04
2yr-WT-2F	20941407	88.34	4.52	 7.14
2yr-WT-3F	19720881	88.98	3.98	 7.04
2yr-WT-5F	19582557	88.92	4.07	 7.01
2yr-WT-6F	18077234	88.98	4.20	 6.82
2yr-WT-7F	17340488	88.60	4.04	 7.36
2yr-WT-8F	19379696	87.82	4.02	 8.16
2yr-WT-10M	20347211	88.11	4.10	 7.79
2yr-WT-4M	20107699	88.29	4.48	 7.23
2yr-WT-9M	17439361	88.58	4.10	 7.32
2yr-Het-2F	19297319	89.01	4.05	 6.94
2yr-Het-6F	20159656	88.70	4.22	 7.08
2yr-Het-7F	15727421	88.62	4.07	 7.31
2yr-Het-8F	19493535	88.10	3.74	 8.16
2yr-Het-1M	19783560	88.90	4.14	 6.96
2yr-Het-3M	20167126	88.90	4.04	 7.06
2yr-Het-4M	18062534	88.03	4.18	 7.79
2yr-Het-5M	17678455	88.84	4.15	 7.01
2yr-KO-4F	17948917	88.40	3.98	 7.62
2yr-KO-7F	18285075	88.02	4.21	 7.77
2yr-KO-8F	16300273	88.42	4.23	 7.35
2yr-KO-9F	17901668	87.66	4.33	 8.01
2yr-KO-10M	17925995	88.12	4.22	 7.66
2yr-KO-11M	19272100	88.28	4.38	 7.34
2yr-KO-12M	17534985	87.97	4.26	 7.77
2yr-KO-1M	18233801	88.85	4.21	 6.94
2yr-KO-2M	17427145	88.88	4.04	 7.08
2yr-KO-3M	17941729	88.63	4.04	 7.33
2yr-KO-6M	17913519	88.52	4.08	 7.40
