Sample	Subject_ID	Cell_Type	Genotype	Age	Sex	Treatment	Total_reads	Uniq_Rate	Multi_Rate	Unmap_Rate	Uniq_Mapped_Reads	Gene_Rate	Ambiguity_Rate	No_Feature_Rate	Avg_Corr	Corr_diff	MADScore	isOutlier	Pct_MT	Pct_Top1	Pct_Top10
MG-Sal-WT-1F	subject94	Microglia	WT	2m	F	Saline	14163830	88.57	4.26	7.17	12544884	81.07	3.88	15.04	0.75	-0.02	-1.54	N	0	6.4	17.6
MG-Sal-WT-2F	subject95	Microglia	WT	2m	F	Saline	15407000	89.76	4.17	6.07	13828849	82.53	3.71	13.76	0.76	-0.01	-1.05	N	0	6.3	17
MG-Sal-WT-3M	subject96	Microglia	WT	2m	M	Saline	19455104	90.26	3.94	5.8	17559955	84.92	3.73	11.35	0.76	-0.01	-1.14	N	0	6.2	16.9
MG-Sal-WT-4M	subject97	Microglia	WT	2m	M	Saline	17714624	89.03	4.07	6.9	15771723	85.43	3.84	10.72	0.76	-0.01	-0.97	N	0	6.3	17.3
MG-Sal-KO-1F	subject98	Microglia	KO	2m	F	Saline	14429702	89.23	4.23	6.54	12875049	79.81	3.65	16.55	0.75	-0.02	-1.56	N	0	5.8	16.9
MG-Sal-KO-2F	subject99	Microglia	KO	2m	F	Saline	14120898	89.12	4.22	6.66	12585135	81.35	3.83	14.82	0.75	-0.02	-1.6	N	0	5.9	17.3
MG-Sal-KO-3F	subject100	Microglia	KO	2m	F	Saline	15091374	89.91	3.82	6.27	13568037	78.54	3.49	17.97	0.75	-0.03	-2	N	0	5.4	16.1
MG-LPS-WT-10F	subject106	Microglia	WT	2m	F	LPS	14991783	86.23	6.03	7.74	12928153	85.54	3.53	10.94	0.78	0.01	0.65	N	0	3.8	14.4
MG-LPS-WT-11F	subject107	Microglia	WT	2m	F	LPS	14363456	88.52	5.18	6.3	12714028	85.05	3.41	11.54	0.79	0.01	0.81	N	0	3.7	13.8
MG-LPS-WT-12F	subject109	Microglia	WT	2m	F	LPS	17075487	87.98	4.96	7.06	15022723	83.44	3.39	13.17	0.78	0.01	0.66	N	0	3.4	13.3
