Pair	MG-Sal-WT-1F	MG-Sal-WT-2F	MG-Sal-WT-3M	MG-Sal-WT-4M	MG-Sal-KO-1F	MG-Sal-KO-2F	MG-Sal-KO-3F	MG-LPS-WT-10F	MG-LPS-WT-11F	MG-LPS-WT-12F	MG-LPS-WT-5F	MG-LPS-WT-6F	MG-LPS-WT-11M	MG-LPS-WT-1M	MG-LPS-WT-8M	MG-LPS-WT-9M	MG-LPS-Het-10F	MG-LPS-Het-6F	MG-LPS-Het-9F	MG-LPS-Het-3M	MG-LPS-Het-4M	MG-LPS-Het-5M	MG-LPS-Het-7M	MG-LPS-Het-8M	MG-LPS-KO-12F	MG-LPS-KO-13F	MG-LPS-KO-8F	MG-LPS-KO-9F	MG-LPS-KO-10M	MG-LPS-KO-11M	MG-LPS-KO-14M	PC-Sal-WT-1F	PC-Sal-WT-2F	PC-Sal-WT-3M	PC-Sal-WT-4M	PC-Sal-KO-1F	PC-Sal-KO-2F	PC-Sal-KO-3F	PC-LPS-WT-10F	PC-LPS-WT-11F	PC-LPS-WT-12F	PC-LPS-WT-5F	PC-LPS-WT-6F	PC-LPS-WT-11M	PC-LPS-WT-1M	PC-LPS-WT-8M	PC-LPS-WT-9M	PC-LPS-Het-10F	PC-LPS-Het-6F	PC-LPS-Het-9F	PC-LPS-Het-3M	PC-LPS-Het-4M	PC-LPS-Het-5M	PC-LPS-Het-7M	PC-LPS-Het-8M	PC-LPS-KO-12F	PC-LPS-KO-13F	PC-LPS-KO-8F	PC-LPS-KO-9F	PC-LPS-KO-10M	PC-LPS-KO-11M	PC-LPS-KO-14M
MG-Sal-WT-1F	100	99.83	83.19	99.83	99.86	99.83	99.86	83.19	66.56	83.19	83.19	79.84	66.56	83.19	66.56	99.83	83.19	49.92	79.84	83.19	66.56	83.19	99.83	83.19	83.19	99.83	66.56	83.19	83.19	66.56	99.83	59.88	99.8	79.84	99.8	79.84	99.8	79.84	59.88	59.88	59.88	39.92	79.84	99.8	59.88	66.45	59.88	59.88	39.92	39.92	39.92	59.88	59.88	39.92	59.88	79.84	79.84	39.92	59.88	66.56	66.56	66.56
MG-Sal-WT-2F	85.59	100	85.59	85.59	99.86	99.86	99.86	74.91	62.42	87.39	71.33	85.59	74.91	85.59	71.33	99.86	87.39	71.33	85.59	85.59	62.42	85.59	99.86	71.33	85.59	99.86	57.06	85.59	87.39	74.91	99.88	83.19	99.83	83.19	99.83	83.19	99.83	99.83	66.56	66.56	66.56	66.56	83.19	99.83	66.56	74.81	66.56	83.19	66.56	66.56	66.56	66.56	66.56	66.56	66.56	83.19	83.19	66.56	66.56	71.33	71.33	71.33
MG-Sal-WT-3M	88.79	79.92	100	88.79	74.91	66.59	77.69	77.69	55.49	55.49	87.39	62.42	59.94	99.9	44.4	77.69	59.94	44.4	69.93	66.59	55.49	59.94	66.59	66.59	69.93	74.91	66.59	69.93	55.49	44.4	66.59	49.94	62.42	49.94	62.42	49.94	62.42	62.42	24.97	49.94	37.45	24.97	37.45	62.42	24.97	19.96	37.45	49.94	37.45	24.97	37.45	28.53	37.45	37.45	24.97	49.94	49.94	28.53	37.45	33.3	44.4	44.4
MG-Sal-WT-4M	99.8	99.8	99.8	100	99.8	99.8	99.8	79.84	59.88	79.84	79.84	79.84	59.88	99.8	59.88	99.8	79.84	59.88	79.84	79.84	59.88	79.84	99.8	79.84	79.84	99.8	59.88	79.84	79.84	59.88	99.8	74.81	99.75	74.81	99.75	74.81	99.75	99.75	49.88	49.88	49.88	49.88	74.81	99.75	49.88	49.75	49.88	74.81	49.88	49.88	49.88	49.88	49.88	49.88	49.88	74.81	74.81	49.88	49.88	59.88	59.88	59.88
MG-Sal-KO-1F	83.19	99.83	83.19	83.19	100	99.83	99.83	59.88	49.92	79.84	66.56	83.19	59.88	83.19	66.56	99.8	83.19	66.56	83.19	79.84	49.92	83.19	99.8	59.88	83.19	99.83	49.92	79.84	83.19	66.56	99.8	79.84	99.8	79.84	99.8	79.84	99.8	99.8	59.88	59.88	59.88	59.88	79.84	99.8	59.88	66.45	59.88	79.84	59.88	59.88	59.88	59.88	59.88	59.88	59.88	79.84	79.84	59.88	59.88	59.88	59.88	59.88
MG-Sal-KO-2F	61.49	69.18	53.8	63.58	89.91	100	91.59	53.8	46.12	84.55	45.41	87.39	76.86	63.58	61.49	84.55	76.86	69.18	84.55	74.94	59.94	69.18	99.92	69.18	84.55	76.86	53.8	69.18	92.24	76.86	99.92	83.26	99.92	81.74	99.92	91.59	99.92	99.92	83.26	74.94	83.26	83.26	91.59	99.92	72.66	90.83	83.26	91.59	83.26	83.26	83.26	83.26	83.26	83.26	83.26	91.59	91.59	83.26	83.26	84.55	84.55	84.55
MG-Sal-KO-3F	74.91	85.59	74.91	74.91	87.39	99.88	100	57.06	49.94	85.59	62.42	83.19	66.56	74.91	62.42	85.59	71.33	74.91	87.39	66.56	57.06	74.91	99.86	57.06	87.39	85.59	62.42	71.33	87.39	74.91	99.83	83.19	99.8	59.88	99.83	83.19	99.83	99.83	66.56	66.56	66.56	66.56	83.19	99.83	66.56	83.19	66.56	83.19	66.56	66.56	66.56	83.19	66.56	66.56	66.56	83.19	83.19	66.56	66.56	71.33	71.33	71.33
MG-LPS-WT-10F	95.41	89.96	90.87	94.95	88.18	64.97	76.43	100	92.27	80.62	99.95	81.2	78.54	88.18	88.43	79.13	77.75	79.28	80.74	91.26	88.43	89.62	69.53	92.27	82.11	84.96	83.31	77.75	73.88	78.54	67.97	67.97	73.05	83.3	70.8	73.05	65.36	73.05	71.4	72.39	71.97	64.26	74.97	74.05	75.97	72.69	66.64	79.28	75.84	66.64	74.05	73.05	72.39	67.83	69.2	78.54	73.05	65.36	75.84	73.31	76.64	75.84
MG-LPS-WT-11F	99.92	92.24	92.24	99.92	91.59	66.61	76.86	99.93	100	73.28	99.93	88.79	79.95	90.83	86.61	85.65	71.38	79.95	78.52	92.24	99.92	93.27	71.38	92.79	79.95	92.24	86.61	79.95	69.18	76.86	61.49	61.49	69.18	84.55	71.38	69.18	69.18	69.18	69.18	64.24	71.38	69.18	69.18	69.18	74.94	63.58	71.38	69.18	71.38	71.38	69.18	61.49	71.38	71.38	69.18	69.18	71.38	69.18	71.38	73.28	73.28	73.28
MG-LPS-WT-12F	79.96	84.17	64.97	74.96	94.06	94.95	94.95	79.13	70.8	100	79.96	85.65	86.92	70.55	83.3	86.92	78.23	82.57	90.87	85.67	71.39	74.97	95.41	79.13	91.63	77.24	79.13	78.23	95.79	86.92	95.61	79.96	95.41	89.96	95.19	95.19	94.95	90.87	85.67	86.92	90.87	82.57	90.87	94.95	89.43	93.69	90.87	90.87	86.92	81.78	84.96	90.43	91.63	86.32	84.96	95.19	95.61	84.96	91.63	87.46	91.63	91.63
