Sample	MG-Sal-WT-1F	MG-Sal-WT-2F	MG-Sal-WT-3M	MG-Sal-WT-4M	MG-Sal-KO-1F	MG-Sal-KO-2F	MG-Sal-KO-3F	MG-LPS-WT-10F	MG-LPS-WT-11F	MG-LPS-WT-12F	MG-LPS-WT-5F	MG-LPS-WT-6F	MG-LPS-WT-11M	MG-LPS-WT-1M	MG-LPS-WT-8M	MG-LPS-WT-9M	MG-LPS-Het-10F	MG-LPS-Het-6F	MG-LPS-Het-9F	MG-LPS-Het-3M	MG-LPS-Het-4M	MG-LPS-Het-5M	MG-LPS-Het-7M	MG-LPS-Het-8M	MG-LPS-KO-12F	MG-LPS-KO-13F	MG-LPS-KO-8F	MG-LPS-KO-9F	MG-LPS-KO-10M	MG-LPS-KO-11M	MG-LPS-KO-14M	PC-Sal-WT-1F	PC-Sal-WT-2F	PC-Sal-WT-3M	PC-Sal-WT-4M	PC-Sal-KO-1F	PC-Sal-KO-2F	PC-Sal-KO-3F	PC-LPS-WT-10F	PC-LPS-WT-11F	PC-LPS-WT-12F	PC-LPS-WT-5F	PC-LPS-WT-6F	PC-LPS-WT-11M	PC-LPS-WT-1M	PC-LPS-WT-8M	PC-LPS-WT-9M	PC-LPS-Het-10F	PC-LPS-Het-6F	PC-LPS-Het-9F	PC-LPS-Het-3M	PC-LPS-Het-4M	PC-LPS-Het-5M	PC-LPS-Het-7M	PC-LPS-Het-8M	PC-LPS-KO-12F	PC-LPS-KO-13F	PC-LPS-KO-8F	PC-LPS-KO-9F	PC-LPS-KO-10M	PC-LPS-KO-11M	PC-LPS-KO-14M
MG-Sal-WT-1F	1	0.911	0.914	0.914	0.912	0.913	0.917	0.879	0.895	0.89	0.898	0.896	0.887	0.911	0.889	0.886	0.895	0.887	0.893	0.875	0.881	0.888	0.912	0.891	0.892	0.908	0.89	0.89	0.892	0.886	0.883	0.627	0.638	0.661	0.648	0.644	0.648	0.648	0.579	0.607	0.591	0.617	0.59	0.588	0.629	0.597	0.617	0.591	0.588	0.592	0.607	0.591	0.613	0.642	0.598	0.592	0.638	0.595	0.628	0.617	0.615	0.614
MG-Sal-WT-2F	0.911	1	0.914	0.911	0.913	0.911	0.907	0.886	0.897	0.89	0.897	0.897	0.887	0.904	0.887	0.887	0.894	0.891	0.892	0.885	0.889	0.892	0.912	0.894	0.893	0.909	0.892	0.895	0.896	0.889	0.887	0.634	0.65	0.666	0.654	0.654	0.659	0.653	0.589	0.619	0.61	0.63	0.609	0.604	0.641	0.614	0.631	0.604	0.598	0.608	0.621	0.602	0.626	0.655	0.613	0.603	0.646	0.608	0.638	0.627	0.63	0.627
MG-Sal-WT-3M	0.914	0.914	1	0.925	0.915	0.917	0.917	0.881	0.897	0.895	0.9	0.898	0.889	0.915	0.89	0.889	0.897	0.892	0.899	0.884	0.888	0.894	0.918	0.897	0.896	0.917	0.89	0.897	0.899	0.891	0.89	0.626	0.647	0.669	0.657	0.653	0.657	0.655	0.583	0.613	0.595	0.622	0.598	0.592	0.632	0.608	0.625	0.594	0.59	0.596	0.611	0.595	0.622	0.654	0.606	0.597	0.645	0.6	0.637	0.626	0.625	0.624
MG-Sal-WT-4M	0.914	0.911	0.925	1	0.911	0.914	0.913	0.88	0.899	0.889	0.899	0.899	0.887	0.909	0.888	0.886	0.895	0.891	0.897	0.88	0.889	0.893	0.915	0.896	0.894	0.916	0.892	0.897	0.896	0.89	0.889	0.634	0.651	0.671	0.659	0.659	0.661	0.663	0.591	0.619	0.601	0.628	0.604	0.601	0.64	0.616	0.631	0.601	0.598	0.603	0.618	0.602	0.628	0.659	0.613	0.604	0.648	0.606	0.642	0.632	0.63	0.629
MG-Sal-KO-1F	0.912	0.913	0.915	0.911	1	0.915	0.913	0.888	0.896	0.889	0.901	0.904	0.889	0.905	0.891	0.885	0.898	0.891	0.895	0.88	0.891	0.893	0.913	0.894	0.897	0.911	0.897	0.895	0.896	0.89	0.891	0.619	0.635	0.657	0.643	0.642	0.647	0.649	0.575	0.602	0.586	0.615	0.59	0.584	0.629	0.597	0.614	0.587	0.586	0.591	0.602	0.588	0.611	0.643	0.596	0.588	0.631	0.588	0.624	0.613	0.614	0.61
MG-Sal-KO-2F	0.913	0.911	0.917	0.914	0.915	1	0.913	0.883	0.897	0.892	0.9	0.903	0.891	0.912	0.89	0.886	0.898	0.889	0.893	0.876	0.889	0.894	0.909	0.895	0.895	0.912	0.896	0.894	0.899	0.888	0.887	0.62	0.632	0.654	0.643	0.637	0.645	0.648	0.573	0.603	0.586	0.614	0.588	0.583	0.628	0.596	0.615	0.584	0.582	0.586	0.604	0.584	0.61	0.642	0.596	0.588	0.631	0.588	0.624	0.612	0.615	0.61
MG-Sal-KO-3F	0.917	0.907	0.917	0.913	0.913	0.913	1	0.875	0.894	0.889	0.897	0.898	0.887	0.912	0.886	0.881	0.892	0.878	0.893	0.871	0.879	0.887	0.912	0.892	0.893	0.911	0.886	0.888	0.891	0.888	0.885	0.606	0.628	0.653	0.637	0.637	0.641	0.64	0.565	0.598	0.579	0.608	0.581	0.571	0.614	0.589	0.605	0.582	0.576	0.578	0.592	0.577	0.604	0.633	0.585	0.581	0.628	0.582	0.616	0.604	0.605	0.604
MG-LPS-WT-10F	0.879	0.886	0.881	0.88	0.888	0.883	0.875	1	0.915	0.907	0.908	0.903	0.908	0.872	0.912	0.913	0.918	0.915	0.908	0.9	0.918	0.919	0.885	0.913	0.912	0.886	0.916	0.907	0.909	0.909	0.907	0.685	0.676	0.698	0.692	0.681	0.688	0.681	0.643	0.662	0.648	0.661	0.648	0.654	0.691	0.659	0.672	0.65	0.645	0.654	0.659	0.643	0.669	0.697	0.658	0.654	0.683	0.651	0.688	0.674	0.675	0.674
MG-LPS-WT-11F	0.895	0.897	0.897	0.899	0.896	0.897	0.894	0.915	1	0.914	0.914	0.909	0.914	0.891	0.914	0.913	0.921	0.919	0.915	0.896	0.912	0.916	0.896	0.92	0.919	0.9	0.916	0.918	0.916	0.914	0.912	0.673	0.679	0.704	0.696	0.68	0.692	0.683	0.636	0.658	0.645	0.663	0.647	0.646	0.675	0.654	0.67	0.647	0.643	0.65	0.66	0.645	0.669	0.692	0.658	0.653	0.678	0.65	0.678	0.668	0.673	0.673
MG-LPS-WT-12F	0.89	0.89	0.895	0.889	0.889	0.892	0.889	0.907	0.914	1	0.91	0.903	0.911	0.892	0.913	0.912	0.921	0.916	0.917	0.899	0.911	0.915	0.894	0.917	0.914	0.894	0.912	0.917	0.911	0.912	0.907	0.669	0.675	0.701	0.687	0.679	0.688	0.679	0.634	0.659	0.646	0.667	0.643	0.639	0.674	0.655	0.674	0.65	0.642	0.646	0.659	0.641	0.669	0.692	0.655	0.651	0.681	0.649	0.679	0.672	0.675	0.677
