Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
MG-Sal-WT-1F	-236.77	-18.75	-92.61	9.15	-19.92	-25.33	5.84	-1.29	40.45	-34.26
MG-Sal-WT-2F	-225.22	-9.98	-82.42	5.68	-24.89	4.09	-30.29	37.35	-5.3	30.78
MG-Sal-WT-3M	-234.63	-23.37	-90.92	20.33	12.42	10.66	-13.25	-8.24	13.61	22.3
MG-Sal-WT-4M	-230.22	-20.78	-90.17	31.71	-8.98	22.45	7.45	-9.03	-2.5	11.8
MG-Sal-KO-1F	-240.05	-16.07	-77.81	-0.46	-26.62	-10.73	-3.4	32.16	-49.78	-14.82
MG-Sal-KO-2F	-240.96	-14.71	-82.84	12.11	-19.72	-20.63	10.47	0.21	-26.38	-38.59
MG-Sal-KO-3F	-245.2	-23.53	-102.01	-21.73	22.59	-21.84	-0.83	-18.26	-2.58	-35.48
MG-LPS-WT-10F	-188.92	25.12	76.99	15.16	-58.89	-24.17	6.08	23.13	-14.02	-3.02
MG-LPS-WT-11F	-203.88	17.08	36.49	-11.25	5.39	10.91	51.55	6.41	7.49	-34.1
MG-LPS-WT-12F	-197.45	19.33	36.62	-24.79	42.83	-21.26	-15.67	-50.18	-4.67	11.57
MG-LPS-WT-5F	-216.39	13.29	15.1	-23.62	6.84	-19.65	45.23	-3.98	-8.5	38.25
MG-LPS-WT-6F	-223.9	11.08	-6.11	-14.8	-20.44	-41.51	50.37	32.99	-41.49	-24.39
MG-LPS-WT-11M	-199.54	22.43	46.93	-19.46	39.84	-20.42	-10.32	28.03	-14.53	-36.71
MG-LPS-WT-1M	-250.83	-12.98	-91.78	-7.68	25.02	-38.74	-2.1	-22.25	55.86	2.78
MG-LPS-WT-8M	-207.66	28.19	48.37	-10.62	0.47	-63.98	21.54	-13.58	-7.6	22.36
MG-LPS-WT-9M	-188.29	15.53	63.3	25.03	-8.84	10.3	6.6	5.9	57.02	23.36
MG-LPS-Het-10F	-204.51	11.05	45.2	-9.32	5.18	-12.67	-8.01	-24.66	-26.4	-10.28
MG-LPS-Het-6F	-192.5	19.36	64.01	3.85	-10.62	34.27	-8.9	-12.04	15.2	-10.7
MG-LPS-Het-9F	-203.82	12.23	32.99	-21.11	60.99	-7.01	-12.4	-13.86	9.03	-21.47
MG-LPS-Het-3M	-176.63	15.87	30.31	-26.42	6.38	5.58	-124.14	78.92	-1.5	51.32
MG-LPS-Het-4M	-187.09	19.04	59.08	9.47	-53.47	19.33	-31.16	0.15	-38.14	8.64
MG-LPS-Het-5M	-205.46	14.95	55.43	-3.6	-15.09	-19.48	14.71	-7.94	-10.07	39.05
MG-LPS-Het-7M	-230.43	-20.51	-73.39	21.9	-5.82	0.32	-2.02	-10.59	30.25	75.27
MG-LPS-Het-8M	-197.49	15.05	46.47	-3.83	13.86	34.25	-1.05	-6.18	5.89	-13.48
MG-LPS-KO-12F	-203.37	15.46	41.06	-12.55	18.03	7.5	8.45	-8.89	-27.55	-25.87
MG-LPS-KO-13F	-206.32	-24.24	-65.85	57.16	-25.78	86.09	-13.22	-21.99	-3.02	-37.26
MG-LPS-KO-8F	-197.22	16.36	51.5	-1.99	-23.98	14.3	0.13	16.3	-20.97	-35.64
MG-LPS-KO-9F	-200.29	6.97	38.82	-9.35	13.86	47.09	36.75	-55.53	-17.73	18.84
MG-LPS-KO-10M	-205.89	3.71	32.34	-0.31	-3.83	8.88	16.36	-11.33	32.46	52.84
MG-LPS-KO-11M	-185.49	13.74	48.73	-2.03	27.4	35.95	-9.38	2.8	37	-10.9
MG-LPS-KO-14M	-198.53	16.77	48.2	3	10.31	21.33	-14.14	30.8	22.88	-22.43
PC-Sal-WT-1F	203.57	-84.79	45.32	63.43	-105.2	-40.48	12.28	-17.27	55.06	-8.59
PC-Sal-WT-2F	182.21	-142.83	3.1	-40.02	-11.12	46.98	18.72	13.1	-4.71	35.02
PC-Sal-WT-3M	156.7	-117.25	5.49	-21.27	81.73	-24.77	26.28	61.8	35.37	0.42
PC-Sal-WT-4M	174.01	-115.4	19.37	-18.37	31.76	-18.76	25.04	65.43	38.11	-18.38
PC-Sal-KO-1F	177.85	-150.06	1.9	-12.35	4.08	25.55	-3.38	-12.67	-43.1	32.84
PC-Sal-KO-2F	176.91	-139.47	14.48	-1.14	22.42	31.23	42.8	20.6	8.1	-10.58
PC-Sal-KO-3F	170.2	-152.95	-5.27	-32.54	-21.19	17.28	27.93	-1.59	-66.04	23.09
PC-LPS-WT-10F	242.11	44.28	-6.4	-61.37	-37.01	25.32	-8.61	-26.16	27.68	-28.74
PC-LPS-WT-11F	219.31	-19.34	-6.55	-46.62	6.42	-8.57	-20.02	-28.68	16.37	-32.29
PC-LPS-WT-12F	232.45	63.71	-21.43	-11.36	-0.41	18.67	6.83	19.42	16.6	2.68
PC-LPS-WT-5F	211.56	-30.15	-20.06	-35.45	22.95	-18.08	-64.24	-25.76	-32.97	-28.64
PC-LPS-WT-6F	231.44	70.3	-28.49	-40.21	1	31.38	-2.1	16.21	-20.15	8.25
PC-LPS-WT-11M	234.59	76.11	-1.06	1.72	-55.14	11.81	7.06	25.6	20.58	-3.12
PC-LPS-WT-1M	189.96	-40.76	17.71	38.42	-59.39	-92.9	-23.24	20.12	-8.7	-9.4
PC-LPS-WT-8M	226.58	91.6	-24.45	34.77	17.04	-4.23	35.04	1.98	-31.83	43.29
PC-LPS-WT-9M	216.52	74.21	-5.92	86.32	31.57	1.28	0.88	11.89	-14.44	-1.3
