Sample	Pct_MT	Pct_Top1	Pct_Top10
MG-Sal-WT-1F	0	6.4	17.6
MG-Sal-WT-2F	0	6.3	17
MG-Sal-WT-3M	0	6.2	16.9
MG-Sal-WT-4M	0	6.3	17.3
MG-Sal-KO-1F	0	5.8	16.9
MG-Sal-KO-2F	0	5.9	17.3
MG-Sal-KO-3F	0	5.4	16.1
MG-LPS-WT-10F	0	3.8	14.4
MG-LPS-WT-11F	0	3.7	13.8
MG-LPS-WT-12F	0	3.4	13.3
MG-LPS-WT-5F	0	3.7	13.4
MG-LPS-WT-6F	0	4.2	15.2
MG-LPS-WT-11M	0	3.3	13.6
MG-LPS-WT-1M	0	6	16.6
MG-LPS-WT-8M	0	3.6	13.8
MG-LPS-WT-9M	0	3.6	13.8
MG-LPS-Het-10F	0	4.1	14.5
MG-LPS-Het-6F	0	3.6	14
MG-LPS-Het-9F	0	3	12.5
MG-LPS-Het-3M	0	3.1	14.8
MG-LPS-Het-4M	0	3.8	14.9
MG-LPS-Het-5M	0	3.3	13.3
MG-LPS-Het-7M	0	5.7	16.5
MG-LPS-Het-8M	0	3.7	13.5
MG-LPS-KO-12F	0	3.4	13.9
MG-LPS-KO-13F	0	5.9	17.8
MG-LPS-KO-8F	0	3.6	14.7
MG-LPS-KO-9F	0	3.6	13.5
MG-LPS-KO-10M	0	4.1	14.1
MG-LPS-KO-11M	0	3.5	13.5
MG-LPS-KO-14M	0	3.7	13.8
PC-Sal-WT-1F	0	4.2	15
PC-Sal-WT-2F	0	4.8	15.1
PC-Sal-WT-3M	0	3.9	14.2
PC-Sal-WT-4M	0	3.8	14.2
PC-Sal-KO-1F	0	4.6	16.2
PC-Sal-KO-2F	0	4.9	16
PC-Sal-KO-3F	0	7.5	17.5
PC-LPS-WT-10F	0	2.6	16.7
PC-LPS-WT-11F	0	5.6	16.4
PC-LPS-WT-12F	0	5.6	22.8
PC-LPS-WT-5F	0	2.7	11.7
PC-LPS-WT-6F	0	4.8	19.6
PC-LPS-WT-11M	0	4.1	19.8
PC-LPS-WT-1M	0	6.2	19.7
PC-LPS-WT-8M	0	6	23.5
PC-LPS-WT-9M	0	5.2	22.3
PC-LPS-Het-10F	0	4.9	20.6
PC-LPS-Het-6F	0	6.3	22.6
PC-LPS-Het-9F	0	3.8	18.1
PC-LPS-Het-3M	0	6.1	24.3
PC-LPS-Het-4M	0	4.6	19.7
PC-LPS-Het-5M	0	3.4	18.5
PC-LPS-Het-7M	0	2.8	13.7
PC-LPS-Het-8M	0	4.8	20.9
PC-LPS-KO-12F	0	3.8	16.8
PC-LPS-KO-13F	0	7	16.4
PC-LPS-KO-8F	0	4.6	20.3
PC-LPS-KO-9F	0	9.7	18.6
PC-LPS-KO-10M	0	4	15.1
PC-LPS-KO-11M	0	4	19.6
PC-LPS-KO-14M	0	3.6	18.9
