Gene	MG.Sal.WT.1F	MG.Sal.WT.2F	MG.Sal.WT.3M	MG.Sal.WT.4M	MG.Sal.KO.1F	MG.Sal.KO.2F	MG.Sal.KO.3F	MG.LPS.WT.10F	MG.LPS.WT.11F	MG.LPS.WT.12F	MG.LPS.WT.5F	MG.LPS.WT.6F	MG.LPS.WT.11M	MG.LPS.WT.1M	MG.LPS.WT.8M	MG.LPS.WT.9M	MG.LPS.Het.10F	MG.LPS.Het.6F	MG.LPS.Het.9F	MG.LPS.Het.3M	MG.LPS.Het.4M	MG.LPS.Het.5M	MG.LPS.Het.7M	MG.LPS.Het.8M	MG.LPS.KO.12F	MG.LPS.KO.13F	MG.LPS.KO.8F	MG.LPS.KO.9F	MG.LPS.KO.10M	MG.LPS.KO.11M	MG.LPS.KO.14M	PC.Sal.WT.1F	PC.Sal.WT.2F	PC.Sal.WT.3M	PC.Sal.WT.4M	PC.Sal.KO.1F	PC.Sal.KO.2F	PC.Sal.KO.3F	PC.LPS.WT.10F	PC.LPS.WT.11F	PC.LPS.WT.12F	PC.LPS.WT.5F	PC.LPS.WT.6F	PC.LPS.WT.11M	PC.LPS.WT.1M	PC.LPS.WT.8M	PC.LPS.WT.9M	PC.LPS.Het.10F	PC.LPS.Het.6F	PC.LPS.Het.9F	PC.LPS.Het.3M	PC.LPS.Het.4M	PC.LPS.Het.5M	PC.LPS.Het.7M	PC.LPS.Het.8M	PC.LPS.KO.12F	PC.LPS.KO.13F	PC.LPS.KO.8F	PC.LPS.KO.9F	PC.LPS.KO.10M	PC.LPS.KO.11M	PC.LPS.KO.14M
Cst3	6.41	6.29	6.17	6.27	5.76	5.95	5.38	3.81	3.71	3.44	3.74	4.21	3.28	5.99	3.58	3.65	4.05	3.6	2.97	3.12	3.76	3.27	5.68	3.67	3.42	5.9	3.65	3.55	4.09	3.53	3.65	0.19	0.23	0.2	0.19	0.27	0.21	0.31	0.08	0.13	0.08	0.13	0.07	0.08	0.17	0.07	0.1	0.07	0.06	0.08	0.09	0.07	0.1	0.18	0.09	0.08	0.18	0.09	0.18	0.13	0.1	0.1
Saa3	0	0	0	0	0	0	0	0.08	0	0.04	0.01	0.03	0.11	0	0.06	0.14	0.04	0.03	0.08	0.05	0.04	0.14	0	0.03	0.04	0	0.04	0	0.05	0.11	0.06	4.19	2.87	3.89	3.85	4.49	4.9	0.89	2.45	5.62	2.07	2.72	1.2	2.41	6.22	1.43	2.29	1.53	0.76	1.9	2.02	1.01	3.06	1.97	2.58	3.8	7.01	2.09	9.68	4.04	2.86	2.39
S100a8	0	0.08	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0.01	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0.16	0.01	0.01	0.01	0.01	0.02	0	2.64	1.67	5.61	0.97	4.84	4.09	0.48	6.01	5.2	4.87	6.34	3.77	6.08	4.65	3.36	0.3	4.78	2.54	0.06	4.58	0.05	1.61	3.99	3.64
S100a9	0	0.07	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0.01	0.01	0	2.29	1.5	5.17	1.08	4.52	3.88	0.5	5.7	5.01	4.6	5.94	3.4	5.62	4.59	3.24	0.35	4.41	2.18	0.05	4.14	0.04	1.52	3.61	3.54
Tmsb4x	1.11	1.19	0.81	0.85	1.5	1.21	0.98	1.5	1.3	1.07	1.28	1.63	1.13	0.99	1.35	1.23	1.14	1.29	0.99	1.21	1.67	1.45	1.02	1.1	1.19	1.11	1.76	1.22	1.6	1.22	1.59	1.59	0.79	0.95	0.99	0.78	0.93	0.77	0.79	0.86	0.99	1.01	0.95	0.94	2.11	1.05	1.21	0.92	0.92	0.9	1.03	1	0.97	1.44	1.07	0.79	1.07	0.91	0.84	1.28	1.28	1.34
Fth1	0.29	0.27	0.23	0.26	0.3	0.3	0.27	0.46	0.39	0.47	0.44	0.43	0.55	0.29	0.53	0.66	0.44	0.48	0.54	0.48	0.45	0.6	0.29	0.53	0.55	0.37	0.52	0.46	0.5	0.67	0.51	0.39	0.37	0.33	0.35	0.34	0.34	0.4	2.3	1.3	3.09	0.86	2.82	3.02	0.47	3.59	2.93	2.97	3.12	1.84	3.8	2.83	2.64	0.52	2.7	2.24	0.39	2.8	0.46	1.28	2.67	2.88
Lyz2	0.1	0.13	0.04	0.04	0.14	0.12	0.08	0.16	0.09	0.1	0.09	0.13	0.11	0.06	0.1	0.13	0.14	0.11	0.11	0.11	0.13	0.13	0.09	0.1	0.12	0.11	0.17	0.08	0.16	0.12	0.13	2.63	4.8	3.51	3.3	4.61	4.04	7.53	0.37	0.89	0.68	1.09	0.59	0.58	4.13	0.87	1.25	0.46	0.52	0.51	1.02	0.58	1.15	2.81	0.88	0.33	2.6	0.59	1.38	1.59	1.35	1.1
C1qb	1.38	1.19	1.15	1.22	1.16	1.29	1.14	1.84	1.6	1.66	1.5	1.49	1.81	1.26	1.75	1.81	1.77	1.74	1.58	1.56	1.67	1.65	1.26	1.67	1.74	1.39	1.73	1.58	1.51	1.66	1.55	0.18	0.33	0.4	0.36	0.36	0.32	0.39	0.04	0.15	0.05	0.13	0.03	0.06	0.19	0.04	0.08	0.04	0.01	0.05	0.06	0.03	0.09	0.33	0.06	0.06	0.33	0.05	0.38	0.15	0.09	0.1
Hexb	1.79	1.88	2.04	2.05	1.8	1.85	1.84	1.18	1.48	1.4	1.59	1.76	1.27	1.92	1.32	1.56	1.51	1.48	1.39	1.34	1.42	1.46	1.94	1.35	1.43	2.05	1.46	1.45	1.59	1.42	1.5	0.01	0.02	0.02	0.02	0.03	0.03	0.03	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.01
Ctsd	2.26	1.91	2.17	2.16	1.81	2.2	2	0.75	0.98	1.01	1.07	1.02	0.94	1.79	0.87	0.97	1.29	0.96	0.92	0.89	0.86	0.86	2.18	1.03	0.99	2.25	0.87	0.95	1.1	0.93	0.94	0.13	0.22	0.21	0.19	0.27	0.23	0.22	0.15	0.19	0.23	0.2	0.26	0.23	0.14	0.3	0.28	0.2	0.21	0.15	0.29	0.25	0.3	0.27	0.22	0.14	0.21	0.2	0.16	0.22	0.23	0.25
