Sample	Uniq_Mapped_Reads	Gene_Rate	Ambiguity_Rate	No_Feature_Rate
MG-Sal-WT-1F	12544884	81.07	 3.88	15.04
MG-Sal-WT-2F	13828849	82.53	 3.71	13.76
MG-Sal-WT-3M	17559955	84.92	 3.73	11.35
MG-Sal-WT-4M	15771723	85.43	 3.84	10.72
MG-Sal-KO-1F	12875049	79.81	 3.65	16.55
MG-Sal-KO-2F	12585135	81.35	 3.83	14.82
MG-Sal-KO-3F	13568037	78.54	 3.49	17.97
MG-LPS-WT-10F	12928153	85.54	 3.53	10.94
MG-LPS-WT-11F	12714028	85.05	 3.41	11.54
MG-LPS-WT-12F	15022723	83.44	 3.39	13.17
MG-LPS-WT-5F	12563196	83.59	 3.48	12.92
MG-LPS-WT-6F	11904862	80.37	 3.51	16.11
MG-LPS-WT-11M	13643895	82.50	 3.33	14.16
MG-LPS-WT-1M	13306578	78.74	 3.38	17.88
MG-LPS-WT-8M	11532330	83.20	 3.45	13.34
MG-LPS-WT-9M	12419743	86.83	 3.67	 9.50
MG-LPS-Het-10F	16521215	84.98	 3.63	11.39
MG-LPS-Het-6F	15800564	87.71	 3.62	 8.67
MG-LPS-Het-9F	14634496	83.75	 3.31	12.93
MG-LPS-Het-3M	14418416	84.58	 3.47	11.95
MG-LPS-Het-4M	13991168	87.33	 3.64	 9.03
MG-LPS-Het-5M	14705795	84.94	 3.52	11.54
MG-LPS-Het-7M	13854051	84.16	 3.93	11.91
MG-LPS-Het-8M	14579682	87.04	 3.58	 9.37
MG-LPS-KO-12F	13834709	84.57	 3.51	11.92
MG-LPS-KO-13F	13672476	88.59	 4.20	 7.21
MG-LPS-KO-8F	13550917	85.57	 3.64	10.79
MG-LPS-KO-9F	13265844	86.91	 3.53	 9.57
MG-LPS-KO-10M	14096522	85.19	 3.68	11.13
MG-LPS-KO-11M	13894167	87.25	 3.62	 9.13
MG-LPS-KO-14M	11194992	85.01	 3.59	11.40
PC-Sal-WT-1F	11666911	92.12	 3.01	 4.87
PC-Sal-WT-2F	10860615	92.51	 3.16	 4.34
PC-Sal-WT-3M	11457283	90.61	 3.23	 6.16
PC-Sal-WT-4M	11516042	91.84	 3.19	 4.97
PC-Sal-KO-1F	11339230	92.33	 3.44	 4.23
PC-Sal-KO-2F	11181449	92.95	 3.34	 3.71
PC-Sal-KO-3F	12409876	91.91	 3.32	 4.76
PC-LPS-WT-10F	11998385	92.71	 3.07	 4.22
PC-LPS-WT-11F	12553436	91.55	 3.35	 5.11
PC-LPS-WT-12F	12050720	92.28	 2.95	 4.77
PC-LPS-WT-5F	11929199	91.39	 3.10	 5.51
PC-LPS-WT-6F	15012082	92.23	 2.96	 4.81
PC-LPS-WT-11M	12044212	93.01	 3.11	 3.88
PC-LPS-WT-1M	12105923	91.14	 2.95	 5.91
PC-LPS-WT-8M	12417129	92.04	 2.95	 5.01
PC-LPS-WT-9M	12079758	92.68	 3.00	 4.31
PC-LPS-Het-10F	14547623	89.99	 2.96	 7.05
PC-LPS-Het-6F	19322187	91.18	 2.82	 6.00
PC-LPS-Het-9F	13264910	92.65	 3.11	 4.24
PC-LPS-Het-3M	10949232	92.19	 2.93	 4.88
PC-LPS-Het-4M	13421856	93.30	 2.97	 3.73
PC-LPS-Het-5M	17164366	92.34	 3.19	 4.47
PC-LPS-Het-7M	12553912	93.88	 3.21	 2.91
PC-LPS-Het-8M	12337729	93.19	 2.99	 3.82
PC-LPS-KO-12F	19627097	90.37	 3.04	 6.59
PC-LPS-KO-13F	15046805	92.32	 3.48	 4.20
PC-LPS-KO-8F	11286390	91.98	 3.02	 5.00
PC-LPS-KO-9F	19486477	93.55	 3.73	 2.72
PC-LPS-KO-10M	15797762	93.22	 3.23	 3.55
PC-LPS-KO-11M	17453212	92.90	 3.02	 4.07
PC-LPS-KO-14M	17635180	92.40	 3.14	 4.46
