Sample_ID	Subject_ID	Cell_Type	Genotype	Age	Sex	Treatment
MG-Sal-WT-1F	subject94	Microglia	WT	2m	F	Saline
MG-Sal-WT-2F	subject95	Microglia	WT	2m	F	Saline
MG-Sal-WT-3M	subject96	Microglia	WT	2m	M	Saline
MG-Sal-WT-4M	subject97	Microglia	WT	2m	M	Saline
MG-Sal-KO-1F	subject98	Microglia	KO	2m	F	Saline
MG-Sal-KO-2F	subject99	Microglia	KO	2m	F	Saline
MG-Sal-KO-3F	subject100	Microglia	KO	2m	F	Saline
MG-LPS-WT-10F	subject106	Microglia	WT	2m	F	LPS
MG-LPS-WT-11F	subject107	Microglia	WT	2m	F	LPS
MG-LPS-WT-12F	subject109	Microglia	WT	2m	F	LPS
MG-LPS-WT-5F	subject102	Microglia	WT	2m	F	LPS
MG-LPS-WT-6F	subject103	Microglia	WT	2m	F	LPS
MG-LPS-WT-11M	subject108	Microglia	WT	2m	M	LPS
MG-LPS-WT-1M	subject101	Microglia	WT	2m	M	LPS
MG-LPS-WT-8M	subject104	Microglia	WT	2m	M	LPS
MG-LPS-WT-9M	subject105	Microglia	WT	2m	M	LPS
MG-LPS-Het-10F	subject117	Microglia	Het	2m	F	LPS
MG-LPS-Het-6F	subject113	Microglia	Het	2m	F	LPS
MG-LPS-Het-9F	subject116	Microglia	Het	2m	F	LPS
MG-LPS-Het-3M	subject110	Microglia	Het	2m	M	LPS
MG-LPS-Het-4M	subject111	Microglia	Het	2m	M	LPS
MG-LPS-Het-5M	subject112	Microglia	Het	2m	M	LPS
MG-LPS-Het-7M	subject114	Microglia	Het	2m	M	LPS
MG-LPS-Het-8M	subject115	Microglia	Het	2m	M	LPS
MG-LPS-KO-12F	subject122	Microglia	KO	2m	F	LPS
MG-LPS-KO-13F	subject123	Microglia	KO	2m	F	LPS
MG-LPS-KO-8F	subject118	Microglia	KO	2m	F	LPS
MG-LPS-KO-9F	subject119	Microglia	KO	2m	F	LPS
MG-LPS-KO-10M	subject120	Microglia	KO	2m	M	LPS
MG-LPS-KO-11M	subject121	Microglia	KO	2m	M	LPS
MG-LPS-KO-14M	subject124	Microglia	KO	2m	M	LPS
PC-Sal-WT-1F	subject125	Peritoneal	WT	2m	F	Saline
PC-Sal-WT-2F	subject126	Peritoneal	WT	2m	F	Saline
PC-Sal-WT-3M	subject127	Peritoneal	WT	2m	M	Saline
PC-Sal-WT-4M	subject128	Peritoneal	WT	2m	M	Saline
PC-Sal-KO-1F	subject129	Peritoneal	KO	2m	F	Saline
PC-Sal-KO-2F	subject130	Peritoneal	KO	2m	F	Saline
PC-Sal-KO-3F	subject131	Peritoneal	KO	2m	F	Saline
PC-LPS-WT-10F	subject137	Peritoneal	WT	2m	F	LPS
PC-LPS-WT-11F	subject138	Peritoneal	WT	2m	F	LPS
PC-LPS-WT-12F	subject140	Peritoneal	WT	2m	F	LPS
PC-LPS-WT-5F	subject133	Peritoneal	WT	2m	F	LPS
PC-LPS-WT-6F	subject134	Peritoneal	WT	2m	F	LPS
PC-LPS-WT-11M	subject139	Peritoneal	WT	2m	M	LPS
PC-LPS-WT-1M	subject132	Peritoneal	WT	2m	M	LPS
PC-LPS-WT-8M	subject135	Peritoneal	WT	2m	M	LPS
PC-LPS-WT-9M	subject136	Peritoneal	WT	2m	M	LPS
PC-LPS-Het-10F	subject148	Peritoneal	Het	2m	F	LPS
PC-LPS-Het-6F	subject144	Peritoneal	Het	2m	F	LPS
PC-LPS-Het-9F	subject147	Peritoneal	Het	2m	F	LPS
PC-LPS-Het-3M	subject141	Peritoneal	Het	2m	M	LPS
PC-LPS-Het-4M	subject142	Peritoneal	Het	2m	M	LPS
PC-LPS-Het-5M	subject143	Peritoneal	Het	2m	M	LPS
PC-LPS-Het-7M	subject145	Peritoneal	Het	2m	M	LPS
PC-LPS-Het-8M	subject146	Peritoneal	Het	2m	M	LPS
PC-LPS-KO-12F	subject153	Peritoneal	KO	2m	F	LPS
PC-LPS-KO-13F	subject154	Peritoneal	KO	2m	F	LPS
PC-LPS-KO-8F	subject149	Peritoneal	KO	2m	F	LPS
PC-LPS-KO-9F	subject150	Peritoneal	KO	2m	F	LPS
PC-LPS-KO-10M	subject151	Peritoneal	KO	2m	M	LPS
PC-LPS-KO-11M	subject152	Peritoneal	KO	2m	M	LPS
PC-LPS-KO-14M	subject155	Peritoneal	KO	2m	M	LPS
